#	https://dpsu.gov.ua/en/map
name	type	lat	long
Yahodyn - Dorohusk	Auto	51.18788324712141	23.81114921050855
Ludyn	Railway	50.82471931702276	24.03009523714426
Izov	Railway	50.824662132294385	24.056478667939178
Rava-Ruska - Khrebenne	Auto	50.27303820007562	23.592259181835768
Rava-Ruska - Verhrata	Railway	50.23482299429242	23.553741704769397
Hrushiv - Budomezh	Auto	50.09702786861815	23.278835506678845
Smilnytsia - Krostsenko	Auto	49.48034487830704	22.705137989955357
Medyka	Foot	49.800162432503846	22.94249250745488
Korczowa - Krakovets	Foot	49.95526777454022	23.11223460066849